IDVenda;IDVendedor;IDCliente;Data;Total
1;1;91;01/01/2016;8053.60
2;6;185;01/01/2016;150.40
3;7;31;02/01/2016;6087.00
4;5;15;02/01/2016;13828.60
5;8;120;03/01/2016;26096.66
6;9;74;04/01/2016;18402.00
7;9;191;06/01/2016;7524.20
8;6;186;06/01/2016;12036.60
9;7;91;06/01/2016;2804.75
10;2;202;06/01/2016;8852.00
11;1;58;08/01/2016;16545.25
12;7;32;09/01/2016;11411.88
13;4;136;10/01/2016;15829.70
14;3;249;12/01/2016;6154.36
15;4;249;12/01/2016;3255.08
16;7;192;13/01/2016;2901.25
17;2;79;13/01/2016;15829.70
18;10;136;14/01/2016;16996.36
19;10;191;14/01/2016;155.00
20;9;218;15/01/2016;131.75
21;3;192;17/01/2016;2521.10
22;2;74;17/01/2016;7652.04
23;2;54;17/01/2016;2955.00
24;1;173;18/01/2016;274.55
25;2;58;19/01/2016;11290.19
26;2;74;21/01/2016;8979.84
27;9;233;21/01/2016;3540.83
28;7;191;22/01/2016;2260.58
29;1;249;22/01/2016;5910.00
30;4;218;23/01/2016;7128.70
31;9;249;23/01/2016;4711.47
32;3;79;24/01/2016;14284.70
33;4;58;24/01/2016;8940.98
34;4;74;24/01/2016;15822.40
35;1;233;26/01/2016;263.08
36;2;89;27/01/2016;18838.35
37;7;192;27/01/2016;6510.16
38;2;202;27/01/2016;9201.00
39;6;233;27/01/2016;4780.74
40;5;31;29/01/2016;5932.00
41;2;249;30/01/2016;2989.15
42;1;105;30/01/2016;13080.03
43;3;218;01/02/2016;306.58
44;2;185;02/02/2016;7524.20
45;1;89;02/02/2016;115.00
46;8;58;03/02/2016;7296.08
47;4;100;05/02/2016;21155.46
48;10;173;08/02/2016;5865.00
49;4;105;09/02/2016;5922.51
50;1;58;09/02/2016;2857.40
51;4;249;09/02/2016;5858.37
52;3;120;10/02/2016;8500.97
53;7;185;10/02/2016;12096.56
54;1;185;11/02/2016;7753.70
55;2;191;11/02/2016;13940.17
56;2;115;12/02/2016;11112.58
57;8;74;13/02/2016;13018.60
58;3;115;13/02/2016;169.20
59;9;79;14/02/2016;11364.30
60;4;136;14/02/2016;7901.00
61;2;105;15/02/2016;8280.90
62;10;74;19/02/2016;3616.75
63;10;191;20/02/2016;7820.85
64;7;218;21/02/2016;358.34
65;3;54;21/02/2016;2609.08
66;8;27;21/02/2016;3886.50
67;4;191;22/02/2016;6678.50
68;5;31;24/02/2016;3838.61
69;3;105;24/02/2016;18072.90
70;5;58;24/02/2016;114.75
71;3;120;25/02/2016;2009.40
72;4;74;27/02/2016;15424.04
73;3;89;27/02/2016;7038.77
74;7;32;27/02/2016;127.84
75;10;91;28/02/2016;9007.00
76;10;202;02/03/2016;10737.00
77;2;89;04/03/2016;9201.00
78;3;100;04/03/2016;91.80
79;4;120;04/03/2016;13206.80
80;6;54;04/03/2016;7233.50
81;7;58;07/03/2016;20543.44
82;9;185;08/03/2016;15377.27
83;8;54;09/03/2016;7196.40
84;9;192;10/03/2016;8280.90
85;7;233;11/03/2016;13705.84
86;2;185;12/03/2016;389.55
87;6;100;13/03/2016;8368.88
88;2;233;14/03/2016;11820.24
89;7;218;14/03/2016;11818.00
90;4;115;15/03/2016;7205.75
91;4;16;15/03/2016;103.28
92;10;79;17/03/2016;5163.00
93;9;186;17/03/2016;7038.77
94;8;31;18/03/2016;6766.75
95;6;105;18/03/2016;213.50
96;10;27;19/03/2016;17165.79
97;6;54;23/03/2016;143.82
98;1;27;23/03/2016;17818.75
99;7;249;23/03/2016;4805.28
100;2;249;23/03/2016;2642.82
101;1;120;28/03/2016;233.58
102;10;47;29/03/2016;155.00
103;2;89;30/03/2016;2428.79
104;5;233;30/03/2016;29307.48
105;4;249;01/04/2016;20338.43
106;4;16;01/04/2016;6771.78
107;7;115;02/04/2016;5631.01
108;9;27;04/04/2016;207.00
109;10;89;05/04/2016;16561.80
110;4;31;10/04/2016;21357.00
111;9;191;11/04/2016;3048.80
112;2;218;12/04/2016;12123.48
113;3;218;13/04/2016;9310.66
114;5;191;13/04/2016;18413.60
115;10;202;13/04/2016;498.73
116;9;100;14/04/2016;2847.78
117;5;58;14/04/2016;155.00
118;8;15;16/04/2016;159.80
119;3;105;17/04/2016;159.80
120;7;47;17/04/2016;4640.00
121;6;47;17/04/2016;17527.65
122;3;47;18/04/2016;3289.00
123;9;58;18/04/2016;20082.85
124;5;74;19/04/2016;15911.45
125;4;74;20/04/2016;6509.30
126;6;105;21/04/2016;506.70
127;4;186;21/04/2016;5532.42
128;8;89;22/04/2016;5180.60
129;1;173;23/04/2016;2242.35
130;7;218;23/04/2016;5786.80
131;8;218;25/04/2016;16184.67
132;10;218;26/04/2016;3086.75
133;3;218;26/04/2016;219.25
134;5;218;29/04/2016;10831.11
135;10;100;29/04/2016;2914.16
136;2;15;29/04/2016;10384.85
137;8;249;01/05/2016;139.50
138;6;74;01/05/2016;2521.10
139;3;185;03/05/2016;8514.01
140;2;105;04/05/2016;6509.30
141;10;191;05/05/2016;12817.75
142;5;191;05/05/2016;5453.55
143;8;105;05/05/2016;5609.60
144;2;192;06/05/2016;115.06
145;2;192;06/05/2016;10199.50
146;10;31;06/05/2016;2464.60
147;4;15;08/05/2016;9321.80
148;6;115;09/05/2016;7360.80
149;5;16;09/05/2016;291.55
150;9;191;10/05/2016;6697.30
151;5;105;13/05/2016;4386.75
152;1;47;14/05/2016;2135.52
153;1;100;14/05/2016;5315.44
154;3;15;14/05/2016;7990.05
155;10;120;15/05/2016;159.80
156;7;91;17/05/2016;18786.84
157;10;89;17/05/2016;11349.63
158;6;115;18/05/2016;5593.40
159;1;58;19/05/2016;2268.99
160;3;249;19/05/2016;19528.45
161;2;186;22/05/2016;10178.74
162;9;89;23/05/2016;13570.57
163;2;173;24/05/2016;3207.57
164;4;249;26/05/2016;9122.82
165;5;58;27/05/2016;8966.75
166;1;54;28/05/2016;9201.00
167;9;120;28/05/2016;2521.10
168;3;100;30/05/2016;496.40
169;4;249;30/05/2016;131.75
170;2;120;30/05/2016;310.00
171;10;115;30/05/2016;3837.95
172;5;115;02/06/2016;28660.30
173;6;58;04/06/2016;21471.75
174;8;47;06/06/2016;6509.30
175;6;185;08/06/2016;159.80
176;9;91;09/06/2016;4780.45
177;10;233;12/06/2016;3398.90
178;10;191;15/06/2016;121.50
179;10;89;15/06/2016;16959.20
180;8;192;15/06/2016;5180.60
181;9;115;15/06/2016;13158.10
182;2;192;16/06/2016;3289.00
183;6;31;16/06/2016;3448.03
184;3;91;17/06/2016;2016.88
185;9;115;17/06/2016;20345.23
186;2;191;17/06/2016;169.20
187;6;185;17/06/2016;9413.50
188;7;115;19/06/2016;8852.00
189;4;218;20/06/2016;7674.60
190;5;120;21/06/2016;15531.90
191;6;47;24/06/2016;188.00
192;5;192;25/06/2016;387.70
193;5;173;26/06/2016;17466.93
194;10;202;27/06/2016;16561.80
195;7;79;28/06/2016;7348.25
196;1;54;29/06/2016;139.50
197;2;136;30/06/2016;22751.40
198;2;233;03/07/2016;9446.44
199;5;32;04/07/2016;10618.95
200;3;47;05/07/2016;7793.00
201;2;120;05/07/2016;8510.00
202;8;115;05/07/2016;3110.00
203;6;89;06/07/2016;92.00
204;9;27;06/07/2016;5552.58
205;9;136;06/07/2016;10021.88
206;8;185;06/07/2016;7094.78
207;6;115;09/07/2016;491.58
208;4;218;10/07/2016;7492.00
209;9;31;11/07/2016;2652.85
210;2;100;11/07/2016;103.50
211;10;32;12/07/2016;9322.50
212;10;202;13/07/2016;4917.36
213;10;100;15/07/2016;5858.37
214;8;218;16/07/2016;206.56
215;2;218;16/07/2016;4521.16
216;4;100;17/07/2016;3893.25
217;1;74;18/07/2016;2955.00
218;4;31;18/07/2016;7007.26
219;10;54;19/07/2016;14416.40
220;1;31;20/07/2016;7524.20
221;4;32;21/07/2016;11168.60
222;3;218;23/07/2016;230.00
223;9;79;25/07/2016;19416.16
224;10;185;25/07/2016;7820.85
225;3;79;27/07/2016;7312.80
226;7;173;28/07/2016;2955.00
227;9;233;28/07/2016;16062.00
228;6;89;30/07/2016;15048.40
229;10;100;02/08/2016;17567.10
230;8;185;05/08/2016;25146.85
231;8;185;06/08/2016;97.75
232;7;91;06/08/2016;5910.00
233;2;32;09/08/2016;12535.90
234;2;173;09/08/2016;217.80
235;7;233;09/08/2016;175.96
236;3;31;10/08/2016;18312.68
237;2;185;10/08/2016;2588.08
238;3;185;11/08/2016;16108.03
239;5;16;11/08/2016;15482.45
240;6;233;12/08/2016;3955.25
241;3;115;12/08/2016;10973.53
242;2;79;12/08/2016;2268.99
243;5;233;15/08/2016;169.20
244;1;192;15/08/2016;22711.68
245;1;100;16/08/2016;4449.95
246;7;185;16/08/2016;229.50
247;5;185;16/08/2016;97.20
248;6;32;18/08/2016;26852.87
249;6;115;18/08/2016;6075.82
250;1;79;20/08/2016;10409.36
251;6;162;20/08/2016;13814.22
252;3;84;21/08/2016;13295.00
253;10;107;22/08/2016;8976.80
254;3;2;22/08/2016;5782.68
255;1;81;22/08/2016;7997.20
256;3;63;23/08/2016;19438.51
257;10;188;25/08/2016;3984.50
258;8;14;26/08/2016;7360.80
259;1;162;26/08/2016;6063.75
260;5;77;27/08/2016;15451.00
261;9;25;31/08/2016;15346.92
262;3;181;02/09/2016;97.75
263;2;180;04/09/2016;16230.02
264;1;187;05/09/2016;20935.38
265;8;53;05/09/2016;165.24
266;9;239;06/09/2016;6206.80
267;3;107;07/09/2016;9201.00
268;1;56;08/09/2016;215.80
269;8;133;09/09/2016;8636.90
270;8;153;10/09/2016;2701.83
271;8;131;11/09/2016;3317.50
272;2;217;12/09/2016;263.08
273;10;65;13/09/2016;2511.75
274;10;147;15/09/2016;5932.00
275;5;46;16/09/2016;115.00
276;6;36;17/09/2016;8852.00
277;7;46;18/09/2016;175.96
278;10;126;18/09/2016;324.20
279;9;238;19/09/2016;8955.50
280;9;232;22/09/2016;3255.08
281;5;238;24/09/2016;11676.09
282;1;39;25/09/2016;7778.70
283;3;242;25/09/2016;2905.90
284;5;140;25/09/2016;7010.78
285;7;51;26/09/2016;2268.99
286;10;145;26/09/2016;15416.98
287;10;42;26/09/2016;4255.00
288;7;75;27/09/2016;7658.00
289;10;30;28/09/2016;439.20
290;1;154;28/09/2016;11488.10
291;3;106;29/09/2016;4358.28
292;7;5;29/09/2016;13543.56
293;9;195;01/10/2016;7932.45
294;2;112;02/10/2016;12682.50
295;3;83;02/10/2016;6683.79
296;5;237;06/10/2016;12167.00
297;6;52;07/10/2016;3131.90
298;5;141;09/10/2016;6771.78
299;9;152;10/10/2016;4836.70
300;5;142;12/10/2016;121.50
301;1;83;13/10/2016;2511.75
302;3;203;13/10/2016;8852.00
303;1;236;15/10/2016;16561.80
304;4;96;15/10/2016;3616.75
305;3;33;16/10/2016;210.80
306;5;36;16/10/2016;7935.60
307;10;75;16/10/2016;135.00
308;1;227;17/10/2016;7674.60
309;9;35;18/10/2016;2656.10
310;2;84;18/10/2016;13522.61
311;7;114;20/10/2016;10126.05
312;2;19;22/10/2016;2656.10
313;10;24;22/10/2016;2618.85
314;1;210;23/10/2016;3255.08
315;4;215;25/10/2016;115.00
316;4;14;25/10/2016;253.58
317;3;134;26/10/2016;5023.50
318;9;40;26/10/2016;2503.56
319;9;176;26/10/2016;5790.81
320;2;203;27/10/2016;29180.40
321;6;104;27/10/2016;2770.03
322;9;190;28/10/2016;8060.43
323;9;63;28/10/2016;6369.38
324;8;246;31/10/2016;3080.75
325;10;20;31/10/2016;2375.58
326;4;196;01/11/2016;7659.00
327;9;180;01/11/2016;2757.38
328;3;68;01/11/2016;19966.60
329;2;149;02/11/2016;8435.90
330;1;156;02/11/2016;8017.88
331;1;21;02/11/2016;12075.85
332;7;126;03/11/2016;12293.96
333;3;97;04/11/2016;251.80
334;5;141;05/11/2016;8852.00
335;5;116;07/11/2016;2771.10
336;5;3;07/11/2016;10658.90
337;1;232;09/11/2016;143.82
338;6;30;09/11/2016;7627.70
339;3;101;10/11/2016;19527.80
340;5;144;11/11/2016;159.80
341;2;78;12/11/2016;13038.10
342;6;241;12/11/2016;7183.75
343;9;231;13/11/2016;247.32
344;9;96;15/11/2016;9872.38
345;10;52;16/11/2016;105.40
346;6;219;16/11/2016;32495.40
347;5;203;17/11/2016;8510.00
348;10;127;17/11/2016;3829.50
349;10;162;19/11/2016;319.60
350;5;72;19/11/2016;2511.75
351;2;17;21/11/2016;103.50
352;9;224;22/11/2016;2669.40
353;4;117;22/11/2016;10008.20
354;4;198;22/11/2016;14746.26
355;5;5;23/11/2016;27016.24
356;7;124;23/11/2016;6027.57
357;6;230;24/11/2016;422.78
358;2;101;24/11/2016;20613.18
359;4;243;25/11/2016;220.40
360;1;52;25/11/2016;253.94
361;8;171;25/11/2016;229.75
362;6;230;25/11/2016;12161.90
363;5;138;28/11/2016;2955.00
364;6;177;29/11/2016;324.20
365;9;42;30/11/2016;10634.02
366;7;182;30/11/2016;10614.00
367;3;116;01/12/2016;13110.60
368;3;160;02/12/2016;169.20
369;3;108;02/12/2016;8241.60
370;3;237;03/12/2016;7130.57
371;5;172;04/12/2016;6509.30
372;7;245;04/12/2016;5766.83
373;7;67;05/12/2016;2260.58
374;1;5;05/12/2016;17096.16
375;6;35;06/12/2016;3060.40
376;7;178;09/12/2016;12130.40
377;9;200;10/12/2016;9064.50
378;8;8;10/12/2016;155.00
379;7;75;11/12/2016;13671.08
380;9;225;12/12/2016;14418.77
381;4;208;12/12/2016;8510.00
382;7;1;13/12/2016;9379.44
383;7;228;13/12/2016;2648.94
384;10;106;14/12/2016;194.40
385;5;60;15/12/2016;18402.00
386;8;38;16/12/2016;4376.50
387;8;156;17/12/2016;253.58
388;8;126;18/12/2016;490.88
389;8;148;19/12/2016;13439.78
390;7;238;20/12/2016;103.28
391;10;33;20/12/2016;5932.00
392;9;156;20/12/2016;8901.60
393;4;168;21/12/2016;16618.98
394;2;49;21/12/2016;8435.90
395;10;42;22/12/2016;14058.80
396;2;103;23/12/2016;10415.38
397;2;65;23/12/2016;16995.20
398;1;238;24/12/2016;5183.30
399;4;62;25/12/2016;14592.63
400;6;224;28/12/2016;18402.00
