SALDO_ATUAL;RESIDENCIADESDE;IDADE;OUTROSPLANOSPGTO;DATA;ESTADOCIVIL;PROPOSITO;CLASSE
1169;4;67;nenhum;01/01/2019;masculino solteiro;radio/tv;bom
5951;2;22;nenhum;01/01/2020;fem div/cas;radio/tv;ruim
2096;3;49;nenhum;02/01/2020;masculino solteiro;educação;bom
7882;4;45;nenhum;02/01/2019;masculino solteiro;mobilia/equipamento;bom
4870;4;53;nenhum;03/01/2018;masculino solteiro;carro novo;ruim
9055;4;35;nenhum;04/01/2020;masculino solteiro;educação;bom
2835;4;53;nenhum;06/01/2019;masculino solteiro;mobilia/equipamento;bom
6948;2;35;nenhum;06/01/2019;masculino solteiro;carro usado;bom
3059;4;61;nenhum;06/01/2020;masculino div/sep;radio/tv;bom
5234;2;28;nenhum;06/01/2020;masculino casado/viuvo;carro novo;ruim
1295;1;25;nenhum;08/01/2019;;carro novo;ruim
4308;4;24;nenhum;09/01/2018;fem div/cas;negócios;ruim
1567;1;22;nenhum;10/01/2019;fem div/cas;radio/tv;bom
1199;4;60;nenhum;12/01/2020;masculino solteiro;carro novo;ruim
1403;4;28;nenhum;12/01/2018;fem div/cas;carro novo;bom
;2;32;nenhum;13/01/2020;fem div/cas;radio/tv;ruim
2424;4;53;nenhum;13/01/2019;masculino solteiro;radio/tv;bom
8072;3;25;banco;14/01/2019;masculino solteiro;negócios;bom
12579;2;44;nenhum;14/01/2019;fem div/cas;carro usado;ruim
3430;2;31;nenhum;15/01/2018;masculino solteiro;radio/tv;bom
2134;4;48;nenhum;17/01/2019;masculino solteiro;carro novo;bom
2647;3;44;nenhum;17/01/2020;masculino solteiro;radio/tv;bom
;3;48;nenhum;17/01/2018;masculino solteiro;carro novo;bom
1804;4;44;nenhum;18/01/2019;masculino solteiro;carro usado;bom
2069;1;26;nenhum;19/01/2019;masculino casado/viuvo;mobilia/equipamento;bom
1374;2;36;banco;21/01/2018;masculino solteiro;mobilia/equipamento;bom
426;4;39;nenhum;21/01/2018;masculino casado/viuvo;radio/tv;bom
409;3;42;nenhum;22/01/2020;fem div/cas;radio/tv;bom
2415;2;34;nenhum;22/01/2018;masculino solteiro;radio/tv;bom
;4;63;nenhum;23/01/2019;masculino solteiro;negócios;ruim
1913;3;36;banco;23/01/2018;masculino casado/viuvo;negócios;bom
4020;2;27;stores;24/01/2020;masculino solteiro;mobilia/equipamento;bom
5866;2;30;nenhum;24/01/2019;masculino solteiro;carro novo;bom
1264;4;57;nenhum;24/01/2020;masculino solteiro;negócios;bom
1474;1;33;banco;26/01/2020;fem div/cas;mobilia/equipamento;bom
4746;2;25;nenhum;27/01/2019;masculino solteiro;radio/tv;ruim
6110;3;31;banco;27/01/2018;masculino solteiro;educação;bom
2100;2;37;stores;27/01/2020;masculino solteiro;radio/tv;ruim
1225;2;37;nenhum;27/01/2020;;Eletrodomésticos;bom
458;3;24;nenhum;29/01/2019;masculino solteiro;radio/tv;bom
2333;2;30;banco;30/01/2018;masculino solteiro;radio/tv;bom
1158;1;26;nenhum;30/01/2018;masculino div/sep;radio/tv;bom
6204;4;44;nenhum;01/02/2019;masculino solteiro;obras;bom
6187;4;24;nenhum;02/02/2019;masculino casado/viuvo;carro usado;bom
6143;4;58;stores;02/02/2019;fem div/cas;carro usado;ruim
1393;4;35;nenhum;03/02/2019;fem div/cas;carro novo;bom
2299;4;39;nenhum;05/02/2020;masculino solteiro;radio/tv;bom
1352;2;23;nenhum;08/02/2018;fem div/cas;carro usado;bom
7228;4;39;nenhum;09/02/2020;masculino solteiro;carro novo;bom
2073;2;28;nenhum;09/02/2020;fem div/cas;radio/tv;bom
2333;2;29;banco;09/02/2019;masculino solteiro;mobilia/equipamento;bom
5965;2;30;nenhum;10/02/2019;masculino solteiro;carro usado;bom
1262;2;25;nenhum;10/02/2018;masculino solteiro;radio/tv;bom
3378;1;31;nenhum;11/02/2018;masculino solteiro;carro usado;bom
2225;4;57;banco;11/02/2018;masculino solteiro;carro novo;ruim
783;2;26;stores;12/02/2020;masculino solteiro;carro novo;bom
6468;1;52;nenhum;13/02/2020;masculino solteiro;radio/tv;ruim
9566;2;31;stores;13/02/2020;fem div/cas;radio/tv;bom
1961;2;23;nenhum;14/02/2020;fem div/cas;carro novo;bom
6229;4;23;nenhum;14/02/2018;fem div/cas;mobilia/equipamento;ruim
1391;1;27;banco;15/02/2019;masculino casado/viuvo;negócios;bom
1537;4;50;nenhum;19/02/2018;masculino solteiro;radio/tv;bom
1953;4;61;nenhum;20/02/2018;masculino solteiro;negócios;ruim
14421;2;25;nenhum;21/02/2020;masculino solteiro;negócios;ruim
3181;4;26;nenhum;21/02/2019;fem div/cas;radio/tv;bom
5190;4;48;nenhum;21/02/2019;masculino solteiro;obras;bom
2171;2;29;banco;22/02/2020;fem div/cas;radio/tv;bom
1007;1;22;nenhum;24/02/2019;masculino casado/viuvo;carro novo;bom
1819;4;37;stores;24/02/2019;masculino solteiro;educação;ruim
2394;4;25;nenhum;24/02/2020;fem div/cas;radio/tv;bom
8133;2;30;banco;25/02/2020;fem div/cas;carro usado;bom
730;2;46;nenhum;27/02/2019;masculino solteiro;radio/tv;bom
1164;4;51;banco;27/02/2019;masculino solteiro;outros;bom
5954;1;41;banco;27/02/2019;fem div/cas;negócios;bom
1977;4;40;nenhum;28/02/2019;masculino solteiro;educação;ruim
1526;4;66;nenhum;02/03/2019;masculino solteiro;carro usado;bom
3965;3;34;nenhum;04/03/2019;masculino solteiro;radio/tv;ruim
4771;4;51;nenhum;04/03/2019;;radio/tv;bom
9436;2;39;nenhum;04/03/2019;masculino solteiro;carro usado;bom
3832;1;22;nenhum;04/03/2019;masculino casado/viuvo;mobilia/equipamento;bom
5943;1;44;nenhum;07/03/2020;fem div/cas;radio/tv;ruim
1213;3;47;stores;08/03/2018;masculino solteiro;radio/tv;bom
1568;4;24;nenhum;09/03/2019;fem div/cas;negócios;bom
1755;4;58;nenhum;10/03/2018;fem div/cas;outros;bom
2315;4;52;nenhum;11/03/2020;masculino solteiro;radio/tv;bom
1412;2;29;nenhum;12/03/2019;fem div/cas;negócios;bom
1295;1;27;nenhum;13/03/2019;fem div/cas;mobilia/equipamento;bom
12612;4;47;nenhum;14/03/2018;masculino solteiro;educação;ruim
2249;3;30;nenhum;14/03/2018;masculino solteiro;carro novo;bom
1108;3;28;nenhum;15/03/2020;masculino solteiro;obras;ruim
618;4;56;nenhum;15/03/2019;masculino solteiro;radio/tv;bom
1409;3;54;nenhum;17/03/2020;masculino solteiro;carro usado;bom
797;3;33;banco;17/03/2018;fem div/cas;radio/tv;ruim
3617;4;20;nenhum;18/03/2019;masculino solteiro;mobilia/equipamento;bom
1318;4;54;nenhum;18/03/2018;masculino solteiro;carro novo;bom
15945;4;58;nenhum;19/03/2019;masculino solteiro;negócios;ruim
2012;2;61;nenhum;23/03/2019;fem div/cas;educação;bom
2622;4;34;nenhum;23/03/2020;masculino solteiro;negócios;bom
2337;4;36;nenhum;23/03/2018;masculino solteiro;radio/tv;bom
7057;4;36;banco;23/03/2019;masculino solteiro;carro usado;bom
1469;4;41;nenhum;28/03/2020;masculino casado/viuvo;carro novo;bom
2323;4;24;nenhum;29/03/2018;masculino solteiro;radio/tv;bom
932;2;24;nenhum;30/03/2019;fem div/cas;radio/tv;bom
1919;3;35;nenhum;30/03/2018;masculino solteiro;mobilia/equipamento;bom
2445;4;26;nenhum;01/04/2018;masculino casado/viuvo;carro usado;bom
11938;3;39;nenhum;01/04/2019;masculino solteiro;outros;ruim
6458;4;39;banco;02/04/2020;masculino solteiro;carro novo;ruim
6078;2;32;nenhum;04/04/2020;masculino solteiro;carro novo;bom
7721;2;30;nenhum;05/04/2020;fem div/cas;mobilia/equipamento;bom
1410;2;35;nenhum;10/04/2019;masculino casado/viuvo;negócios;bom
1449;2;31;banco;11/04/2020;masculino div/sep;negócios;bom
392;4;23;nenhum;12/04/2018;fem div/cas;educação;bom
6260;3;28;nenhum;13/04/2020;masculino solteiro;carro novo;bom
7855;2;25;stores;13/04/2019;fem div/cas;carro novo;ruim
1680;1;35;nenhum;13/04/2020;masculino casado/viuvo;radio/tv;bom
3578;1;47;nenhum;14/04/2019;masculino solteiro;radio/tv;bom
7174;3;30;nenhum;14/04/2018;fem div/cas;radio/tv;ruim
2132;3;27;nenhum;16/04/2019;fem div/cas;mobilia/equipamento;bom
4281;4;23;nenhum;17/04/2020;fem div/cas;mobilia/equipamento;ruim
2366;3;36;nenhum;17/04/2019;masculino div/sep;carro novo;bom
1835;2;25;nenhum;17/04/2019;fem div/cas;radio/tv;ruim
3868;2;41;nenhum;18/04/2018;fem div/cas;carro usado;bom
1768;2;24;nenhum;18/04/2019;masculino solteiro;mobilia/equipamento;bom
781;4;63;nenhum;19/04/2019;masculino solteiro;carro novo;bom
1924;3;27;nenhum;20/04/2019;fem div/cas;mobilia/equipamento;ruim
2121;2;30;nenhum;21/04/2018;masculino solteiro;carro novo;bom
701;2;40;nenhum;21/04/2020;masculino casado/viuvo;radio/tv;bom
2541111000;2;30;nenhum;22/04/2020;masculino solteiro;obras;ruim
1860;2;34;nenhum;23/04/2018;masculino solteiro;carro usado;bom
3499;2;29;nenhum;23/04/2018;fem div/cas;carro novo;ruim
8487;2;0;nenhum;25/04/2019;fem div/cas;carro novo;bom
6887;3;29;stores;26/04/2020;masculino solteiro;educação;ruim
2708;3;27;banco;26/04/2019;masculino solteiro;mobilia/equipamento;bom
1984;4;47;banco;29/04/2019;masculino solteiro;mobilia/equipamento;bom
10144;4;21;nenhum;29/04/2019;fem div/cas;radio/tv;bom
1240;2;0;nenhum;29/04/2020;fem div/cas;radio/tv;bom
8613;2;27;nenhum;01/05/2019;masculino solteiro;carro usado;bom
766;3;66;nenhum;01/05/2020;masculino solteiro;radio/tv;ruim
2728;2;35;banco;03/05/2020;masculino solteiro;radio/tv;bom
1881;2;44;nenhum;04/05/2020;fem div/cas;radio/tv;bom
709;2;27;nenhum;05/05/2018;masculino casado/viuvo;carro novo;bom
4795;1;30;nenhum;05/05/2020;fem div/cas;radio/tv;bom
3416;2;27;nenhum;05/05/2018;masculino solteiro;radio/tv;bom
2462;2;22;nenhum;06/05/2018;masculino solteiro;mobilia/equipamento;ruim
2288;4;23;nenhum;06/05/2019;fem div/cas;mobilia/equipamento;bom
3566;2;30;nenhum;06/05/2018;masculino solteiro;negócios;bom
860;4;39;nenhum;08/05/2018;fem div/cas;carro novo;bom
682;3;51;nenhum;09/05/2018;fem div/cas;carro novo;bom
5371;2;28;nenhum;09/05/2018;masculino solteiro;mobilia/equipamento;bom
1582;4;46;nenhum;10/05/2020;masculino solteiro;radio/tv;bom
1346;4;42;banco;13/05/2020;masculino solteiro;radio/tv;bom
1924;4;38;nenhum;14/05/2018;masculino solteiro;radio/tv;bom
5848;1;24;nenhum;14/05/2018;masculino solteiro;radio/tv;bom
7758;4;29;nenhum;14/05/2018;fem div/cas;carro usado;bom
6967;4;0;nenhum;15/05/2018;masculino solteiro;negócios;bom
1282;4;20;nenhum;17/05/2019;fem div/cas;mobilia/equipamento;ruim
1288;4;48;nenhum;17/05/2020;masculino solteiro;obras;bom
339;1;45;banco;18/05/2018;masculino casado/viuvo;qualificação;bom
3512;3;38;banco;19/05/2018;masculino solteiro;carro novo;bom
1898;2;34;nenhum;19/05/2018;masculino solteiro;radio/tv;bom
21544411255;4;36;nenhum;22/05/2020;masculino solteiro;radio/tv;bom
1055;1;30;nenhum;23/05/2018;fem div/cas;carro novo;bom
1262;3;36;nenhum;24/05/2020;masculino solteiro;Eletrodomésticos;bom
7308;4;70;banco;26/05/2020;masculino solteiro;carro novo;bom
909;4;480;nenhum;27/05/2020;masculino solteiro;carro novo;bom
2978;2;32;nenhum;28/05/2019;masculino solteiro;mobilia/equipamento;bom
1131;2;33;nenhum;28/05/2019;fem div/cas;mobilia/equipamento;ruim
1577;1;20;nenhum;30/05/2020;fem div/cas;mobilia/equipamento;bom
3972;4;25;nenhum;30/05/2019;fem div/cas;mobilia/equipamento;bom
1935;4;31;nenhum;30/05/2018;masculino div/sep;negócios;ruim
950;3;33;nenhum;30/05/2019;masculino solteiro;carro novo;ruim
763;1;26;nenhum;02/06/2018;fem div/cas;mobilia/equipamento;bom
2064;2;34;nenhum;04/06/2020;fem div/cas;mobilia/equipamento;ruim
1414;2;33;nenhum;06/06/2020;masculino solteiro;radio/tv;bom
3414;1;26;nenhum;08/06/2018;masculino solteiro;educação;ruim
7485;1;53;banco;09/06/2019;fem div/cas;carro usado;ruim
2577;1;42;nenhum;12/06/2019;masculino div/sep;mobilia/equipamento;bom
338;4;52;nenhum;15/06/2020;masculino solteiro;radio/tv;bom
1963;2;31;nenhum;15/06/2019;masculino solteiro;radio/tv;bom
571;4;0;nenhum;15/06/2018;masculino solteiro;carro novo;bom
9572;1;28;nenhum;15/06/2020;masculino div/sep;negócios;ruim
4455;2;30;stores;16/06/2018;masculino div/sep;negócios;ruim
1647;2;40;nenhum;16/06/2019;masculino solteiro;carro novo;ruim
3777;4;50;nenhum;17/06/2020;masculino solteiro;mobilia/equipamento;bom
884;4;36;banco;17/06/2018;masculino solteiro;carro novo;ruim
1360;2;31;nenhum;17/06/2020;masculino solteiro;radio/tv;bom
5129;4;74;banco;17/06/2018;fem div/cas;carro usado;ruim
1175;3;68;nenhum;19/06/2020;masculino solteiro;carro novo;bom
674;1;20;nenhum;20/06/2018;masculino casado/viuvo;radio/tv;ruim
3244;4;33;banco;21/06/2019;fem div/cas;mobilia/equipamento;bom
4591;3;54;nenhum;24/06/2019;masculino solteiro;negócios;ruim
3844;4;34;nenhum;25/06/2018;masculino solteiro;negócios;ruim
3915;2;36;nenhum;26/06/2018;masculino solteiro;negócios;ruim
2108;2;29;nenhum;27/06/2018;masculino casado/viuvo;radio/tv;bom
3031;4;21;nenhum;28/06/2019;masculino solteiro;radio/tv;ruim
1501;3;34;nenhum;29/06/2018;fem div/cas;educação;ruim
1382;1;200;nenhum;30/06/2018;fem div/cas;radio/tv;bom
951;4;27;banco;03/07/2018;fem div/cas;mobilia/equipamento;ruim
2760;4;36;banco;04/07/2019;masculino solteiro;carro usado;bom
4297;3;40;nenhum;05/07/2018;masculino div/sep;mobilia/equipamento;ruim
936;2;52;nenhum;05/07/2018;masculino solteiro;educação;bom
1168;3;27;nenhum;05/07/2020;masculino casado/viuvo;carro novo;bom
5117;4;26;nenhum;06/07/2018;masculino solteiro;negócios;bom
902;4;21;nenhum;06/07/2019;masculino casado/viuvo;qualificação;ruim
1495;1;38;nenhum;06/07/2019;masculino solteiro;carro novo;bom
10623;4;38;nenhum;06/07/2018;masculino solteiro;carro usado;bom
1935;4;43;nenhum;09/07/2018;masculino solteiro;mobilia/equipamento;bom
1424;3;26;nenhum;10/07/2018;masculino solteiro;Eletrodomésticos;bom
6568;2;21;stores;11/07/2018;masculino casado/viuvo;negócios;bom
1413;2;55;nenhum;11/07/2020;masculino solteiro;carro usado;bom
3074;2;33;nenhum;12/07/2018;masculino solteiro;radio/tv;bom
3835;4;45;nenhum;13/07/2019;fem div/cas;radio/tv;bom
5293;4;50;stores;15/07/2019;masculino solteiro;negócios;ruim
1908;4;66;nenhum;16/07/2019;masculino solteiro;negócios;ruim
3342;2;51;nenhum;16/07/2019;masculino solteiro;radio/tv;bom
932;3;39;nenhum;17/07/2018;fem div/cas;qualificação;bom
3104;1;31;banco;18/07/2020;masculino solteiro;negócios;bom
3913;2;23;nenhum;18/07/2018;masculino solteiro;radio/tv;bom
3021;2;24;nenhum;19/07/2018;masculino div/sep;mobilia/equipamento;bom
1364;4;64;nenhum;20/07/2020;fem div/cas;carro novo;bom
625;1;26;banco;21/07/2018;masculino casado/viuvo;radio/tv;bom
1200;4;23;banco;23/07/2018;fem div/cas;educação;bom
707;2;30;banco;25/07/2018;masculino solteiro;radio/tv;bom
2978;4;32;nenhum;25/07/2018;masculino solteiro;negócios;bom
4657;2;30;nenhum;27/07/2018;masculino solteiro;carro usado;bom
2613;2;27;nenhum;28/07/2020;masculino solteiro;obras;bom
10961;2;27;banco;28/07/2018;masculino solteiro;radio/tv;ruim
7865;4;53;nenhum;30/07/2018;masculino solteiro;mobilia/equipamento;ruim
1478;2;22;nenhum;02/08/2020;masculino solteiro;radio/tv;ruim
3149;1;22;banco;05/08/2018;masculino solteiro;mobilia/equipamento;bom
4210;2;26;nenhum;06/08/2018;masculino solteiro;radio/tv;ruim
2507;4;51;nenhum;06/08/2019;masculino solteiro;carro novo;bom
2141;1;35;nenhum;09/08/2020;masculino solteiro;radio/tv;bom
866;2;25;nenhum;09/08/2019;masculino casado/viuvo;radio/tv;bom
1544;1;42;nenhum;09/08/2020;masculino solteiro;radio/tv;bom
1823;2;30;stores;10/08/2019;masculino solteiro;radio/tv;ruim
14555;2;23;nenhum;10/08/2020;masculino solteiro;carro novo;ruim
2767;2;61;banco;11/08/2018;masculino div/sep;negócios;ruim
1291;2;35;nenhum;11/08/2018;fem div/cas;radio/tv;bom
2522;3;39;nenhum;12/08/2020;masculino solteiro;radio/tv;bom
915;2;29;banco;12/08/2019;fem div/cas;carro novo;ruim
1595;2;51;nenhum;12/08/2019;masculino solteiro;radio/tv;bom
4605;4;24;nenhum;15/08/2019;masculino solteiro;carro usado;ruim
1185;2;27;nenhum;15/08/2019;fem div/cas;negócios;bom
3447;3;35;nenhum;16/08/2019;fem div/cas;qualificação;bom
1258;1;25;nenhum;16/08/2019;masculino solteiro;negócios;bom
717;4;52;nenhum;16/08/2020;masculino solteiro;radio/tv;bom
1204;1;35;banco;18/08/2018;;carro novo;bom
1925;2;26;nenhum;18/08/2018;masculino solteiro;mobilia/equipamento;bom
433;4;22;nenhum;20/08/2018;fem div/cas;radio/tv;ruim
666;4;39;nenhum;20/08/2019;fem div/cas;carro novo;bom
2251;2;46;nenhum;21/08/2019;fem div/cas;mobilia/equipamento;bom
2150;2;24;banco;22/08/2020;fem div/cas;carro novo;ruim
4151;3;35;nenhum;22/08/2020;masculino solteiro;mobilia/equipamento;bom
2030;1;24;nenhum;22/08/2019;masculino solteiro;mobilia/equipamento;bom
7418;1;27;nenhum;23/08/2020;masculino solteiro;radio/tv;bom
2684;2;35;nenhum;25/08/2020;masculino solteiro;radio/tv;bom
2149;1;29;nenhum;26/08/2018;masculino div/sep;radio/tv;ruim
3812;4;23;nenhum;26/08/2019;fem div/cas;carro usado;bom
1154;4;57;nenhum;27/08/2020;fem div/cas;radio/tv;bom
1657;2;27;nenhum;31/08/2020;masculino solteiro;mobilia/equipamento;bom
1603;4;55;nenhum;02/09/2020;fem div/cas;radio/tv;bom
5302;4;36;nenhum;04/09/2019;masculino solteiro;carro novo;bom
2748;4;57;banco;05/09/2019;fem div/cas;educação;bom
1231;4;32;nenhum;05/09/2019;masculino solteiro;carro novo;bom
802;3;37;nenhum;06/09/2019;masculino solteiro;radio/tv;ruim
6304;4;36;nenhum;07/09/2020;masculino solteiro;negócios;bom
1533;3;38;stores;08/09/2018;fem div/cas;radio/tv;bom
8978;4;45;nenhum;09/09/2019;masculino div/sep;carro novo;ruim
999;2;25;nenhum;10/09/2019;masculino solteiro;radio/tv;bom
2662;3;32;nenhum;11/09/2018;masculino solteiro;carro novo;bom
1402;4;37;nenhum;12/09/2020;fem div/cas;mobilia/equipamento;bom
12169;4;36;nenhum;13/09/2018;masculino solteiro;carro novo;bom
3060;4;28;nenhum;15/09/2019;masculino solteiro;radio/tv;ruim
11998;1;34;nenhum;16/09/2020;masculino div/sep;obras;ruim
2697;2;32;nenhum;17/09/2018;masculino solteiro;radio/tv;bom
2404;2;26;nenhum;18/09/2018;fem div/cas;radio/tv;bom
1262;4;49;nenhum;18/09/2020;masculino div/sep;mobilia/equipamento;bom
4611;4;32;nenhum;19/09/2019;fem div/cas;mobilia/equipamento;ruim
1901;4;29;nenhum;22/09/2020;masculino solteiro;radio/tv;bom
3368;4;23;nenhum;24/09/2020;masculino solteiro;carro usado;bom
1574;2;50;nenhum;25/09/2020;masculino solteiro;mobilia/equipamento;bom
1445;4;49;banco;25/09/2020;masculino solteiro;radio/tv;bom
1520;4;63;nenhum;25/09/2018;masculino solteiro;mobilia/equipamento;bom
3878;2;37;nenhum;26/09/2019;masculino div/sep;carro novo;bom
10722;1;35;nenhum;26/09/2018;fem div/cas;carro novo;bom
4788;3;26;nenhum;26/09/2019;masculino solteiro;carro usado;bom
7582;4;31;nenhum;27/09/2020;masculino solteiro;outros;bom
1092;4;49;nenhum;28/09/2020;fem div/cas;radio/tv;bom
1024;4;48;stores;28/09/2018;masculino casado/viuvo;radio/tv;ruim
1076;2;26;nenhum;29/09/2018;masculino casado/viuvo;negócios;bom
9398;4;28;nenhum;29/09/2020;masculino casado/viuvo;carro usado;ruim
6419;4;44;nenhum;01/10/2020;fem div/cas;carro usado;bom
4796;4;56;nenhum;02/10/2019;masculino solteiro;carro usado;bom
7629;2;46;banco;02/10/2020;masculino div/sep;negócios;bom
9960;2;26;nenhum;06/10/2019;fem div/cas;mobilia/equipamento;ruim
4675;4;20;nenhum;07/10/2020;fem div/cas;carro usado;bom
1287;2;45;nenhum;09/10/2019;masculino solteiro;carro novo;bom
2515;4;43;nenhum;10/10/2020;masculino solteiro;mobilia/equipamento;bom
2745;2;32;nenhum;12/10/2020;masculino solteiro;mobilia/equipamento;bom
672;4;54;nenhum;13/10/2018;fem div/cas;carro novo;bom
3804;1;42;nenhum;13/10/2018;fem div/cas;radio/tv;ruim
1344;2;37;banco;15/10/2020;masculino solteiro;carro novo;ruim
1038;3;49;nenhum;15/10/2019;masculino solteiro;carro novo;bom
10127;2;44;banco;16/10/2019;masculino solteiro;carro novo;ruim
1543;2;33;nenhum;16/10/2018;masculino div/sep;mobilia/equipamento;bom
4811;4;24;stores;16/10/2018;fem div/cas;carro usado;bom
727;3;33;nenhum;17/10/2019;masculino casado/viuvo;radio/tv;ruim
1237;4;24;nenhum;18/10/2019;fem div/cas;mobilia/equipamento;ruim
276;4;22;nenhum;18/10/2018;masculino casado/viuvo;carro novo;bom
5381;4;40;banco;20/10/2019;masculino solteiro;outros;bom
5511;1;25;stores;22/10/2019;masculino solteiro;mobilia/equipamento;bom
3749;4;26;nenhum;22/10/2019;fem div/cas;mobilia/equipamento;bom
685;3;25;banco;23/10/2018;masculino casado/viuvo;carro novo;ruim
1494;2;29;nenhum;25/10/2019;masculino solteiro;carro novo;bom
2746;4;31;banco;25/10/2019;masculino solteiro;mobilia/equipamento;ruim
708;3;38;nenhum;26/10/2020;masculino solteiro;mobilia/equipamento;bom
4351;4;48;nenhum;26/10/2018;fem div/cas;mobilia/equipamento;bom
701;2;32;nenhum;26/10/2020;masculino solteiro;educação;bom
3643;4;27;nenhum;27/10/2020;fem div/cas;mobilia/equipamento;bom
4249;2;28;nenhum;27/10/2019;masculino casado/viuvo;carro novo;ruim
1938;3;32;nenhum;28/10/2018;masculino div/sep;radio/tv;ruim
2910;1;34;nenhum;28/10/2019;masculino solteiro;carro usado;bom
2659;2;28;nenhum;31/10/2020;masculino solteiro;mobilia/equipamento;bom
1028;3;36;nenhum;31/10/2018;fem div/cas;carro novo;bom
3398;4;39;nenhum;01/11/2019;masculino solteiro;carro novo;bom
5801;4;49;nenhum;01/11/2018;masculino solteiro;mobilia/equipamento;bom
1525;3;34;nenhum;01/11/2020;fem div/cas;carro novo;bom
4473;2;31;nenhum;02/11/2019;masculino solteiro;radio/tv;bom
1068;4;28;nenhum;02/11/2019;masculino solteiro;radio/tv;bom
6615;4;75;nenhum;02/11/2018;masculino solteiro;carro usado;bom
1864;2;30;nenhum;03/11/2018;fem div/cas;educação;ruim
